Type,Instruction,Scenario,address
instructions,turn on the faucet and fill the sink with water,bathroom,FloorPlan401_001
instructions,pick up the soap bottle and place it on the side table,bathroom,FloorPlan401_001
instructions,open the hand towel holder and hang the towel on it,bathroom,FloorPlan401_001
instructions,clean the mirror with a cloth from the side table,bathroom,FloorPlan401_001
instructions,pick up the spray bottle from the shelf and place it on the sink,bathroom,FloorPlan401_002
instructions,take the dish sponge from the shelf and put it in the sink,bathroom,FloorPlan401_002
instructions,grab the paper towel roll from the shelf and place it on the side table,bathroom,FloorPlan401_002
instructions,move the soap bottle from the sink to the top shelf of the rack,bathroom,FloorPlan401_002
instructions,open the faucet and let water run into the sink for a few seconds,bathroom,FloorPlan401_002
instructions,pull the shower curtain to the side to access the bathtub,bathroom,FloorPlan401_003
instructions,turn on the shower faucet and fill the bathtub with water,bathroom,FloorPlan401_003
instructions,place a towel on the towel holder,bathroom,FloorPlan401_003
instructions,close the shower curtain after filling the tub,bathroom,FloorPlan401_003
instructions,pick up the plunger and place it next to the toilet,bathroom,FloorPlan401_004
instructions,move the scrub brush from its current position to the corner of the room,bathroom,FloorPlan401_004
instructions,open the toilet lid and then close it again,bathroom,FloorPlan401_004
instructions,push the garbage can slightly closer to the wall,bathroom,FloorPlan401_004
instructions,fill the bathtub with water using the faucet,bathroom,FloorPlan402_001
instructions,place a towel on the bathroom counter,bathroom,FloorPlan402_001
instructions,open the cabinet under the sink and place a bottle of soap inside,bathroom,FloorPlan402_001
instructions,close the cabinet doors after placing the soap,bathroom,FloorPlan402_001
instructions,turn on the light above the mirror,bathroom,FloorPlan402_001
instructions,pick up the trash can and move it closer to the door,bathroom,FloorPlan402_001
instructions,place a hand towel on the towel ring,bathroom,FloorPlan402_001
instructions,turn on the faucet of the left sink and fill the soap bottle with water,bathroom,FloorPlan402_002
instructions,place the soap bottle on the counter between the two sinks,bathroom,FloorPlan402_002
instructions,open the cabinet under the right sink and place the soap bottle inside,bathroom,FloorPlan402_002
instructions,close the cabinet door under the right sink,bathroom,FloorPlan402_002
instructions,turn on both faucets simultaneously and let water run for 10 seconds,bathroom,FloorPlan402_002
instructions,turn off both faucets,bathroom,FloorPlan402_002
instructions,pick up the soap bottle from the counter and place it in the left sink,bathroom,FloorPlan402_002
instructions,move the hand towel from the holder to the edge of the right sink,bathroom,FloorPlan402_002
instructions,fill the bathtub with water using the faucet,bathroom,FloorPlan402_003
instructions,turn on the shower and adjust the water temperature,bathroom,FloorPlan402_003
instructions,place a towel on the edge of the bathtub,bathroom,FloorPlan402_003
instructions,close the shower glass door,bathroom,FloorPlan402_003
instructions,turn on the shower faucet,bathroom,FloorPlan402_004
instructions,fill the bathtub with water,bathroom,FloorPlan402_004
instructions,close the shower door,bathroom,FloorPlan402_004
instructions,open the shower door,bathroom,FloorPlan402_004
instructions,place a towel on the towel holder,bathroom,FloorPlan402_004
instructions,turn on the faucet and fill the sink with water,bathroom,FloorPlan403_001
instructions,pick up the soap bottle and place it next to the sink,bathroom,FloorPlan403_001
instructions,place the soap bar in the soap dish,bathroom,FloorPlan403_001
instructions,open the cabinet under the counter and store the soap bottle inside,bathroom,FloorPlan403_001
instructions,close the cabinet door,bathroom,FloorPlan403_001
instructions,fill the bathtub with water from the faucet,bathroom,FloorPlan403_002
instructions,turn on the bathroom light above the mirror,bathroom,FloorPlan403_002
instructions,place a towel on the counter top near the sink,bathroom,FloorPlan403_002
instructions,open the cabinet under the sink and retrieve a bottle of soap,bathroom,FloorPlan403_002
instructions,close the cabinet after retrieving the soap,bathroom,FloorPlan403_002
instructions,put the soap bottle on the countertop next to the sink,bathroom,FloorPlan403_002
Simple,Turn on the faucet and fill the sink with water,bathroom,FloorPlan401_001
Medium,"Pick up the soap bottle, place it on the side table, then turn on the faucet to rinse the sink",bathroom,FloorPlan401_001
Complex,"Open the hand towel holder, remove the towel, hang it on the rack, then clean the mirror using the soap bottle and wipe it with the towel",bathroom,FloorPlan401_001
Simple,Pick up the spray bottle from the rack and place it on the sink counter.,bathroom,FloorPlan401_002
Medium,"Retrieve the paper towel roll from the rack, unroll a section, and use it to wipe the mirror clean.",bathroom,FloorPlan401_002
Complex,"Take the soap bottle from the sink, refill it using the faucet, then place it back on the sink while ensuring the faucet is turned off.",bathroom,FloorPlan401_002
Simple,Pull the shower curtain to the side and open the bathtub faucet,bathroom,FloorPlan401_003
Medium,Place a towel on the towel holder and adjust the showerhead position,bathroom,FloorPlan401_003
Complex,"Fill the bathtub with water, then close the shower curtain and turn off the faucet",bathroom,FloorPlan401_003
Simple,Pick up the scrub brush and place it next to the plunger,bathroom,FloorPlan401_004
Medium,"Open the toilet tank lid, remove the water valve, and replace it with a new one",bathroom,FloorPlan401_004
