Type,Instruction,Scenario,Address
Simple,Place the spatula on the counter next to the stove,kitchen,FloorPlan10_001
Medium,Heat the pan on the stove and then use the spatula to stir the contents if any,kitchen,FloorPlan10_001
Complex,"Take the paper towel roll, cut a piece, wipe the countertop, and then place the used paper towel in the trash bin",kitchen,FloorPlan10_001
Simple,Wash the tomato under the faucet and place it on the countertop,kitchen,FloorPlan10_002
Medium,Slice the bread using the butter knife and put the slices on a plate,kitchen,FloorPlan10_002
Complex,"Fill the pot with water from the sink, place it on the stove, and heat it until boiling",kitchen,FloorPlan10_002
Simple,Pick up the red vase from the middle shelf and place it on the top shelf.,kitchen,FloorPlan10_003
Medium,Move the cell phone from the middle shelf to the bottom shelf and then pick up the glass bottle from the top shelf to place it beside the white vase on the bottom shelf.,kitchen,FloorPlan10_003
Complex,"Remove the glass bottle from the top shelf, clean it by wiping with a cloth (if available), and then place it back on the top shelf while ensuring the red vase remains undisturbed on the middle shelf.",kitchen,FloorPlan10_003
Simple,Place the bread on the counter next to the pot,kitchen,FloorPlan10_004
Medium,Wash the potato under the faucet and place it in the pot,kitchen,FloorPlan10_004
Complex,"Slice the tomato with the butter knife, then transfer the slices into the pot and heat the pot on the stove",kitchen,FloorPlan10_004
Simple,Move the houseplant from the countertop to the corner of the kitchen near the door,kitchen,FloorPlan10_005
Medium,Fill the pot with water using the faucet and place it on the stove to heat,kitchen,FloorPlan10_005
Complex,"Wash the plate in the sink, dry it with a towel from the counter, and place it neatly on the dining table",kitchen,FloorPlan10_005
Simple,Place the bread on the plate and move it to the counter near the window,kitchen,FloorPlan11_001
Medium,"Wash the tomato under the faucet, then slice it with the knife and place the slices on the blue tray",kitchen,FloorPlan11_001
Complex,"Take the lettuce and tomato from the counter, wash both under the faucet, slice them with the knife, and arrange them on the plate along with a piece of bread to make a sandwich",kitchen,FloorPlan11_001
Simple,Place the apple on the countertop next to the toaster,kitchen,FloorPlan11_002
Medium,Use the knife to slice the apple and place the slices into the pan on the stove,kitchen,FloorPlan11_002
Complex,"Turn on the stove, heat the pan, cook the apple slices, then transfer them to a plate and add salt from the salt shaker",kitchen,FloorPlan11_002
Simple,Place the mug on the dining table next to the bowl,kitchen,FloorPlan11_003
Medium,Move the pot from the table to the floor and then place the stool beside it,kitchen,FloorPlan11_003
Complex,"Pick up the pot, move it to the kitchen counter, fill it with water from the sink, and return it to the table",kitchen,FloorPlan11_003
Simple,Place the spatula on the counter next to the microwave,kitchen,FloorPlan11_004
Medium,"Open the microwave, place the plate inside, close it, and turn it on for one minute",kitchen,FloorPlan11_004
Complex,"Retrieve the soap bottle from the sink area, use it to clean the spoon, then place the spoon on the blue tray",kitchen,FloorPlan11_004
Simple,Wash the tomato under the faucet and place it on the counter,kitchen,FloorPlan11_005
Medium,Cut the lettuce with the knife and transfer the pieces to the blue plate,kitchen,FloorPlan11_005
Complex,"Take the bread from the counter, toast it in the microwave, then spread butter on it using the knife before placing it on the plate",kitchen,FloorPlan11_005
Simple,Place the apple on the countertop next to the coffee machine,kitchen,FloorPlan12_001
Medium,Wash the lettuce in the sink and then place it on a clean plate,kitchen,FloorPlan12_001
Complex,"Use the coffee machine to brew a cup of coffee, then heat the tomato in the microwave and serve it on the mug",kitchen,FloorPlan12_001
Simple,Place the apple on the countertop next to the coffee machine,kitchen,FloorPlan12_002
Medium,Fill the cup with water from the faucet and place it on the counter,kitchen,FloorPlan12_002
Complex,"Use the spatula to move the lettuce into the sink, then wash it under the faucet and place it on a clean plate",kitchen,FloorPlan12_002
Simple,Place the bread into the toaster and turn it on,kitchen,FloorPlan12_003
Medium,"Pick up the potato, place it in the pot on the stove, and turn on the stove to cook it",kitchen,FloorPlan12_003
Complex,"Take the bread from the counter, slice it using the knife, toast it in the toaster, then place it on a plate beside the stove",kitchen,FloorPlan12_003
Simple,"Open the fridge and retrieve the milk bottle, then place it on the countertop.",kitchen,FloorPlan12_004
Medium,"Place the pot on the stove burner, turn on the stove, and heat the pot for a few minutes.",kitchen,FloorPlan12_004
Complex,"Retrieve the bread from the pantry, slice it on the countertop, place it in the pot, and cook it on the stove until toasted.",kitchen,FloorPlan12_004
Simple,Place the tomato on the plate beside the sink,kitchen,FloorPlan13_001
Medium,Wash the bread under the faucet and then place it on the counter,kitchen,FloorPlan13_001
Complex,"Slice the bread, wash the tomato, and place both on the plate before moving the plate to the center of the counter",kitchen,FloorPlan13_001
